130, '正常', '耐震压力表', 'PARKER', '左舵机', '压力', 'YN-60', '（0~3500）Mpa', 1.6, 'SL505-YL028', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
131, '正常', '耐震压力表', 'PARKER', '左舵机', '压力', 'YN-60', '（0~3500）Mpa', 1.6, 'SL505-YL029', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
132, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门1号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL030', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
133, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门3号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL031', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
134, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门3号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL032', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
135, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门2号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL033', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
136, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门2号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL034', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
137, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门4号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL035', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
138, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门4号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL036', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
139, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门5号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL038', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
140, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门5号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL039', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
141, '正常', '温度表', '中国雷尔仪表有限公司', '热水锅炉', '温度', 'Y-100', '(0~150)C°', NULL, 'Y0N06128', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
142, '正常', '耐震压力表', 'PRESSVREGAGGE', '锚机液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL040', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
143, '正常', '耐震压力表', 'PRESSVREGAGGE', '锚机液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL041', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
144, '正常', '压力表', '中国黎明液压有限公司', '锚机液压泵站', '压力', 'Y-20', '（0~0.4）Mpa', 1.6, 'SL505-YL042', '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
145, '正常', '耐震压力表', 'HAIDVENYEYP', '吊艇机', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL043', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
146, '正常', '耐震压力表', 'HAIDVENYEYP', '吊艇机', '压力', 'YN-60', '（0~40）Mpa', 1.6, 'SL505-YL044', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
147, '正常', '电表', NULL, '应急发电机控制屏', '电表', NULL, NULL, NULL, 'SL505-D073', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
